rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.29,634,0.9368080000000001,74,35400,1.25,47394,,,
0.51,636,0.9366239999999999,74,35500,1.38,47532,,,
0.47,638,0.936448,74,35600,1.32,47664,,,
0.46,640,0.936264,74,35700,1.38,47802,,,
0.56,642,0.9360773333333334,74,35800,1.4,47942,,,
0.28,643,0.9359133333333334,74,35900,1.23,48065,,,
0.54,645,0.9357199999999999,74,36000,1.45,48210,,,
0.28,647,0.935556,74,36100,1.23,48333,,,
0.37,649,0.9353853333333333,74,36200,1.28,48461,,,
0.42,651,0.9352066666666667,74,36300,1.34,48595,,,
0.37,652,0.9350400000000001,74,36400,1.25,48720,,,
0.42,654,0.9348639999999999,74,36500,1.32,48852,,,
0.51,656,0.9346746666666668,74,36600,1.42,48994,,,
0.44,658,0.9344946666666667,74,36700,1.35,49129,,,
0.54,660,0.934304,74,36800,1.43,49272,,,
0.38,661,0.9341306666666667,74,36900,1.3,49402,,,
0.39,663,0.9339573333333333,74,37000,1.3,49532,,,
0.43,665,0.93378,74,37100,1.33,49665,,,
0.34,667,0.9336106666666666,74,37200,1.27,49792,,,
0.39,669,0.9334333333333333,74,37300,1.33,49925,,,
0.4,670,0.9332586666666667,74,37400,1.31,50056,,,
0.37,672,0.933084,74,37500,1.31,50187,,,
0.38,674,0.9329133333333333,74,37600,1.28,50315,,,
0.53,676,0.9327293333333333,74,37700,1.38,50453,,,
0.64,678,0.9325373333333333,74,37800,1.44,50597,,,
0.3,680,0.9323680000000001,74,37900,1.27,50724,,,
0.31,682,0.9322053333333333,74,38000,1.22,50846,,,
0.52,683,0.9320266666666668,74,38100,1.34,50980,,,
0.44,685,0.9318493333333333,74,38200,1.33,51113,,,
0.63,687,0.9316573333333333,74,38300,1.44,51257,,,
0.38,689,0.931484,74,38400,1.3,51387,,,
0.25,691,0.9313213333333334,74,38500,1.22,51509,,,
0.57,693,0.9311346666666667,74,38600,1.4,51649,,,
0.3,694,0.9309653333333334,74,38700,1.27,51776,,,
0.63,696,0.9307799999999999,74,38800,1.39,51915,,,
0.96,698,0.93058,74,38900,1.5,52065,,,
0.29,700,0.9304159999999999,74,39000,1.23,52188,,,
0.64,702,0.9302306666666667,74,39100,1.39,52327,,,
0.47,703,0.9300493333333333,74,39200,1.36,52463,,,
0.42,705,0.9298733333333333,74,39300,1.32,52595,,,
0.65,707,0.9296853333333333,74,39400,1.41,52736,,,
0.33,709,0.9295133333333334,74,39500,1.29,52865,,,
0.35,710,0.9293426666666667,74,39600,1.28,52993,,,
0.45,712,0.9291653333333334,74,39700,1.33,53126,,,
0.36,714,0.9289946666666666,74,39800,1.28,53254,,,
0.39,716,0.9288160000000001,74,39900,1.34,53388,,,
0.4,718,0.928636,74,40000,1.35,53523,,,
0.39,720,0.9284600000000001,74,40100,1.32,53655,,,
0.54,722,0.9282706666666667,74,40200,1.42,53797,,,
0.45,724,0.9280919999999999,74,40300,1.34,53931,,,
0.46,725,0.9279120000000001,74,40400,1.35,54066,,,
0.22,727,0.9277533333333334,74,40500,1.19,54185,,,
0.35,729,0.9275786666666668,74,40600,1.31,54316,,,
0.48,731,0.9273973333333334,74,40700,1.36,54452,,,
0.53,733,0.9272186666666666,74,40800,1.34,54586,,,
0.29,735,0.927052,74,40900,1.25,54711,,,
0.54,736,0.926868,74,41000,1.38,54849,,,
0.46,738,0.9266866666666667,74,41100,1.36,54985,,,
0.46,740,0.926504,74,41200,1.37,55122,,,
0.3,742,0.9263413333333332,74,41300,1.22,55244,,,
